#{"t_start": 1582834890.839442, "env_id": "nailbot-v0"}
r,l,t
33.888605,11,2181.257211
22.971826,11,2182.404469
15.351443,11,2183.657372
14.128219,11,2184.875875
136.877719,11,2186.118796
35.387035,11,2187.358488
36.215741,11,2188.404269
17.246518,11,2189.668958
15.901537,11,2190.853158
29.142416,11,2192.248708
23.552937,11,2193.346205
28.349709,11,2194.561951
36.284943,11,2195.775827
35.537927,11,2196.949038
19.623459,11,2197.987457
35.68819,11,2199.123409
15.713003,11,2200.122062
27.551203,11,2201.326284
28.67084,11,2202.416898
30.920446,11,2203.555233
39.382909,11,2204.76319
23.62181,11,2205.978069
34.115926,11,2207.167282
32.615387,11,2208.514207
34.949591,11,2209.735699
32.413172,11,2211.037383
15.35604,11,2212.156391
51.830035,11,2213.445296
31.404376,11,2214.618596
119.9927,11,2215.633818
30.493203,11,2216.835962
11.38664,11,2217.874828
30.643076,11,2219.128414
19.31421,11,2220.073344
17.245336,11,2221.127957
24.422949,11,2222.216759
34.980499,11,2223.368483
36.13574,11,2224.659963
39.993533,11,2225.925423
37.187618,11,2227.211267
14.646824,11,2228.403012
33.391202,11,2229.679123
135.990519,11,2230.930139
14.96631,11,2232.177709
18.540918,11,2233.423659
37.396148,11,2234.714216
28.028549,11,2235.999111
16.699961,11,2237.154443
34.533601,11,2238.32487
22.993794,11,2239.401892
34.26209,11,2240.501459
18.536697,11,2241.590346
31.503384,11,2242.632418
34.685624,11,2243.782765
33.216299,11,2245.086816
33.001523,11,2246.498389
29.114987,11,2247.69814
37.557506,11,2248.927836
32.354875,11,2250.22674
28.629157,11,2251.401415
30.74265,11,2252.632528
14.814103,11,2253.83466
20.479883,11,2255.021426
26.263834,11,2256.243524
37.531703,11,2257.455555
28.814878,11,2258.617737
30.806704,11,2259.773979
27.076717,11,2260.954509
37.701009,11,2262.072919
32.836379,11,2263.111305
26.490933,11,2264.322046
18.916152,11,2265.53397
33.803292,11,2266.755863
27.058392,11,2268.096164
15.150655,11,2269.216706
38.145363,11,2270.414817
24.272802,11,2271.562438
37.753839,11,2272.774061
29.904279,11,2274.061351
16.132441,11,2275.40205
18.453978,11,2276.424852
13.659101,11,2277.55766
23.078694,11,2278.556335
31.873511,11,2279.673496
29.113976,11,2280.628521
38.45189,11,2281.814136
33.557013,11,2282.883621
33.053764,11,2284.181197
16.643935,11,2285.376496
22.020956,11,2286.550869
12.183373,11,2287.78458
13.667408,11,2288.937268
28.295927,11,2290.14666
33.121103,11,2291.349338
15.250492,11,2292.49643
26.955967,11,2293.663995
16.747151,11,2294.73365
13.252019,11,2295.867818
32.441534,11,2297.058789
34.980545,11,2298.295895
16.846614,11,2299.441755
17.565331,11,2300.508106
28.8128,11,2301.755721
34.915992,11,2302.619775
18.088152,11,2303.856797
30.83722,11,2305.085988
42.887279,11,2306.286737
29.756273,11,2307.564533
31.328664,11,2308.822978
12.936038,11,2310.059777
24.271291,11,2311.310551
43.471331,11,2312.513195
39.110484,11,2313.757193
24.776847,11,2315.050927
19.918345,11,2316.158088
31.498796,11,2317.182437
20.080583,11,2318.28416
127.538254,11,2319.228178
33.093234,11,2320.432033
19.361148,11,2321.501677
25.702309,11,2322.597652
232.261778,11,2323.776301
41.760987,11,2324.966698
32.180353,11,2326.224764
27.018393,11,2327.409161
35.11402,11,2328.707301
34.088463,11,2329.980296
28.81487,11,2331.268774
18.65128,11,2332.40596
40.249421,11,2333.725962
32.894534,11,2334.982873
16.450396,11,2336.187804
35.625288,11,2337.433128
15.047246,11,2338.625572
32.810648,11,2339.749832
32.621168,11,2340.973119
18.550899,11,2341.937937
26.126796,11,2342.994718
27.783772,11,2344.252777
28.447567,11,2345.48769
20.612361,11,2346.623474
20.962774,11,2347.796522
29.124029,11,2348.967814
23.965044,11,2350.331395
46.505163,11,2351.57602
36.023011,11,2352.874163
37.141281,11,2354.191642
19.610108,11,2355.333021
135.61987,11,2356.573763
18.464739,11,2357.8171
32.819302,11,2359.028722
35.944744,11,2360.244656
30.124444,11,2361.245496
33.907691,11,2362.413566
25.544064,11,2363.439628
31.298544,11,2364.689925
12.88027,11,2365.903679
12.289835,11,2367.019741
13.013363,11,2368.218994
20.548021,11,2369.43082
15.701632,11,2370.637764
36.471794,11,2371.865339
28.160569,11,2373.12916
34.870921,11,2374.432444
30.560915,11,2375.665072
18.446205,11,2376.82126
31.580583,11,2377.930015
29.092387,11,2379.003055
43.620345,11,2380.08703
50.096327,11,2381.115669
37.289337,11,2382.20915
18.6487,11,2383.316969
31.347137,11,2384.643071
24.90393,11,2385.882499
14.015,11,2387.05483
34.954329,11,2388.150901
26.721778,11,2389.408172
24.665775,11,2390.640272
28.909139,11,2391.802444
35.307228,11,2393.034392
23.407753,11,2394.276572
27.358997,11,2395.470781
17.581165,11,2396.677888
32.910508,11,2397.942229
27.594144,11,2399.194799
46.1259,11,2400.486502
37.04359,11,2401.564747
33.727851,11,2402.562802
25.158645,11,2403.62296
33.860721,11,2404.825401
34.337112,11,2406.060268
15.996705,11,2407.322147
32.055155,11,2408.569199
35.156705,11,2409.887044
30.421668,11,2411.143528
32.965906,11,2412.518332
32.386941,11,2413.706336
36.223687,11,2414.982036
34.218581,11,2416.17665
31.634522,11,2417.318053
31.040465,11,2418.565699
23.35153,11,2419.730953
34.649013,11,2420.877822
30.793357,11,2421.878546
37.521169,11,2422.967069
25.696906,11,2424.179884
30.062,11,2425.435828
39.942055,11,2426.737266
36.583516,11,2428.049031
34.903265,11,2429.323151
11.189168,11,2430.57888
23.63483,11,2431.705467
34.890206,11,2432.931202
21.775158,11,2434.159244
30.913872,11,2435.285239
29.505972,11,2436.427444
32.805081,11,2437.706057
19.351076,11,2438.960359
37.010981,11,2440.254334
21.763886,11,2441.348897
29.303884,11,2442.572801
32.742995,11,2443.779966
24.408934,11,2445.037531
27.438073,11,2446.353382
35.336269,11,2447.588036
33.793029,11,2448.834936
34.291363,11,2450.016962
34.546622,11,2451.293342
30.475813,11,2452.44899
23.432825,11,2453.634392
25.889781,11,2454.889303
39.619422,11,2456.140621
38.680041,11,2457.332972
28.750692,11,2458.338064
33.265583,11,2459.466707
29.572632,11,2460.468999
20.958271,11,2461.609342
40.140032,11,2462.712367
16.074934,11,2463.844671
33.934767,11,2465.100382
23.661335,11,2466.301445
27.735677,11,2467.540733
11.255016,11,2468.762754
33.340731,11,2469.94292
28.4442,11,2471.114495
17.772829,11,2472.275474
27.171878,11,2473.552886
16.931678,11,2474.738212
15.636764,11,2475.859267
25.542698,11,2477.0357
35.910682,11,2478.210876
30.153838,11,2479.319449
23.310329,11,2480.330705
20.5216,11,2481.480911
16.066524,11,2482.519462
33.747614,11,2483.637774
13.422614,11,2484.87569
13.407944,11,2486.085934
33.203163,11,2487.295271
13.569528,11,2488.427566
37.470899,11,2489.681412
32.911276,11,2490.877354
36.346132,11,2492.157841
15.083269,11,2493.351789
33.43007,11,2494.641718
22.085695,11,2496.030051
27.938285,11,2497.229097
34.69114,11,2498.521928
38.391177,11,2499.748461
32.125644,11,2500.771772
35.335218,11,2501.809537
24.357918,11,2502.933875
30.424754,11,2503.995028
27.007821,11,2505.187816
43.655359,11,2506.509264
12.919159,11,2507.59714
36.918236,11,2508.790669
22.412097,11,2509.992672
24.998916,11,2511.235604
30.508253,11,2512.346911
36.338432,11,2513.503301
18.468299,11,2514.714835
36.45271,11,2515.923431
23.391969,11,2517.193171
25.153239,11,2518.386822
34.134947,11,2519.629525
26.896815,11,2520.630272
22.830767,11,2521.652949
29.409909,11,2522.786895
32.578053,11,2523.864757
43.788653,11,2525.072472
35.069332,11,2526.332099
33.55363,11,2527.604725
21.558942,11,2528.776013
22.575861,11,2529.964197
28.597824,11,2531.238518
30.946057,11,2532.412781
23.227681,11,2533.659551
34.496927,11,2534.92763
27.907682,11,2536.15524
38.022131,11,2537.237763
29.431277,11,2538.387299
28.70587,11,2539.408473
27.131828,11,2540.466355
28.436558,11,2541.571844
